,name,jersey,class,position,height,weight,hometown,hs,img,stats_page
0,Bryson Perryman,0,Jr.,CB,5.7,155.0,"KENSINGTON, MD",Albert Einstein,https://muhlenbergsports.com//images/2024/8/25/FBperryman24_SSeAQ.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/bryson-perryman/8163
0,Victor Pagan,1,So.,LB,5.9,208.0,"BREINIGSVILLE, PA",Parkland,https://muhlenbergsports.com//images/2024/8/25/FBpagan24_uXLHL.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/victor-pagan/8160
0,JJ Ramirez,1,Sr.,DB,5.7,165.0,"MIDDLESEX, NJ",Middlesex,https://muhlenbergsports.com//images/2024/8/25/FBramirezrojas24_Otzd1.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jj-ramirez-rojas/8167
0,Pelton Esannason Jr.,2,Sr.,WR,5.1,190.0,"SOMERVILLE, NJ",Immaculata,https://muhlenbergsports.com//images/2024/8/25/FBesannason24_lsQ0p.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/pelton-esannason-jr-/8131
0,Aaron Sylvester,2,So.,DB,6.0,180.0,"CARLSTADT, NJ",Bergen Catholic,https://muhlenbergsports.com//images/2024/8/25/FBsylvester24_6PQ6e.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/aaron-sylvester/8185
0,Marcus McClaine,3,Jr.,S,5.9,170.0,"GUILDERLAND, NY",Guilderland,https://muhlenbergsports.com//images/2024/8/25/FBmcclaine24_MihmL.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/marcus-mcclaine/8152
0,Luke Spang,3,Fr.,QB,6.1,190.0,"ALLENTOWN, PA",Parkland,https://muhlenbergsports.com//images/2024/8/25/FBspang24_C33dc.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/luke-spang/8342
0,Timothy Buda,4,Sr.,WR,5.9,161.0,"SALISBURY, PA",Salisbury,https://muhlenbergsports.com//images/2024/8/25/FBbuda24_QJddU.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/timothy-buda/8116
0,JR Walley,4,Fr.,QB,6.1,200.0,"HOHOKUS, NJ",Northern Highlands Regional,https://muhlenbergsports.com//images/2024/8/25/FBwalley24_mzg2t.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jr-walley/8344
0,Connor Neith,5,Sr.,LB,6.0,218.0,"ALLENTOWN, PA",Parkland,https://muhlenbergsports.com//images/2024/8/25/FBneith24_TK6WN.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/connor-neith/8156
0,Nick Petrillo,5,Jr.,WR,6.0,170.0,"OTTSVILLE, PA",Palisades,https://muhlenbergsports.com//images/2024/8/25/FBpetrillo24_2Dbiu.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/nick-petrillo/8164
0,Keshon Davila,6,Sr.,DE,5.1,270.0,"NEW BRUNSWICK, NJ",New Brunswick,https://muhlenbergsports.com//images/2024/8/25/FBdavila24_eu9V0.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/keshon-davila/8123
0,Dante Mahaffey,7,Jr.,QB,6.0,200.0,LOWER SAUCON TWP PA,Saucon Valley,https://muhlenbergsports.com//images/2024/8/25/FBmahaffey24_LwNYf.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/dante-mahaffey/8150
0,Isaiah Williams,7,Sr.,S,5.9,165.0,"WASHINGTON, DC",McKinley Tech,https://muhlenbergsports.com//images/2024/8/25/FBwilliamsi24_bTRxI.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/isaiah-williams/8190
0,Jake Shotwell,8,Sr.,FB,5.11,205.0,"MIFFLINVILLE, PA",Columbia Montour Vo-Tech,https://muhlenbergsports.com//images/2024/8/25/FBshotwell24_mszrJ.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jake-shotwell/8182
0,Justin Mondestin,9,Fr.,WR,6.0,185.0,"WAYNE, NJ",Wayne Valley,https://muhlenbergsports.com//images/2024/8/25/FBmondestin24_27LmG.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/justin-mondestin/8330
0,Ray Vender,9,Sr.,LB,5.1,170.0,"MANALAPAN, NJ",Manalapan,https://muhlenbergsports.com//images/2024/8/25/FBvender24_NVbIy.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/ray-vender/8188
0,Christopher Ardito,10,Sr.,WR,6.0,175.0,"GUILDERLAND, NY",Guilderland,https://muhlenbergsports.com//images/2024/8/25/FBardito24_YBgH4.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/christopher-ardito/8110
0,Nate Hoskins,10,Fr.,QB,6.1,180.0,"ALDIE, VA",St. Paul VI,https://muhlenbergsports.com//images/2024/8/25/FBhoskins24_SPMnB.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/nate-hoskins/8319
0,Joe Repetti,11,Sr.,QB,6.0,190.0,"PETERSBURG, NJ",Ocean City,https://muhlenbergsports.com//images/2024/8/25/FBrepetti24_eAeCq.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/joe-repetti/8168
0,Brandon Booker,12,Fr.,QB,6.6,195.0,"NEW YORK, NY",Central Park East,https://muhlenbergsports.com//images/2024/8/25/FBbooker24_sTaFX.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/brandon-booker/8303
0,Andrew Darno,12,Sr.,WR,6.0,185.0,"EASTON, PA",Notre Dame Green Pond,https://muhlenbergsports.com//images/2024/8/25/FBdarno24_b271C.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/andrew-darno/8122
0,Ben Girard,13,Fr.,LB,6.0,225.0,"OAKHURST, NJ",Ocean Twp.,https://muhlenbergsports.com//images/2024/8/25/FBgirard24_PRPdz.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/ben-girard/8315
