,#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
0,26.0,"Elliott, Peyton 26 Elliott, Peyton",11,34,32,66.0,5.0-18,1.0-12,2,0,0,0,0,0,0,View Bio
1,33.0,"Kovacs, Owen 33 Kovacs, Owen",11,40,25,65.0,3.0-12,1.0-8,2,1,0,0,0,0,0,View Bio
2,58.0,"Cerruti, Thomas 58 Cerruti, Thomas",10,28,20,48.0,4.5-8,1.5-3,3,1,0,0,1,0,0,View Bio
3,3.0,"McClaine, Marcus 3 McClaine, Marcus",11,33,9,42.0,1.0-5,0-0,1,2,0,0,1,1,0,View Bio
4,27.0,"Lopez, Jeffrey 27 Lopez, Jeffrey",10,25,6,31.0,1.0-3,0-0,0,2,0,0,0,0,0,View Bio
5,99.0,"Papa, Matt 99 Papa, Matt",11,13,18,31.0,8.5-26,2.5-17,0,1,1,0,1,0,0,View Bio
6,90.0,"Papa, Tom 90 Papa, Tom",11,17,14,31.0,5.5-8,1.0-2,0,0,1,0,0,0,0,View Bio
7,6.0,"Davila, Keshon 6 Davila, Keshon",11,15,14,29.0,6.0-28,3.5-25,0,0,2,0,0,0,0,View Bio
8,20.0,"Lobelo, Isaiah 20 Lobelo, Isaiah",10,9,17,26.0,2.5-11,1.0-8,1,0,0,0,0,0,0,View Bio
9,2.0,"Sylvester, Aaron 2 Sylvester, Aaron",11,19,7,26.0,0.5-0,0-0,1,5,0,0,0,0,0,View Bio
10,9.0,"Vender, Ray 9 Vender, Ray",11,15,10,25.0,2.5-9,1.0-6,0,1,1,0,0,0,0,View Bio
11,5.0,"Neith, Connor 5 Neith, Connor",11,14,10,24.0,0-0,0-0,0,0,0,1,0,0,0,View Bio
12,53.0,"Newman, CJ 53 Newman, CJ",10,19,4,23.0,4.0-16,1.0-12,0,0,0,0,0,0,0,View Bio
13,54.0,"Curry, Blaze 54 Curry, Blaze",11,14,8,22.0,6.0-24,4.0-21,0,1,2,0,0,0,0,View Bio
