,#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
0,24.0,"Dunn, Amari 24 Dunn, Amari",11,138,704,17,687,5.0,9,35,62.45,View Bio
1,11.0,"Repetti, Joe 11 Repetti, Joe",11,94,576,122,454,4.8,7,61,41.27,View Bio
2,32.0,"Manning, Matthew 32 Manning, Matthew",8,68,328,6,322,4.7,5,32,40.25,View Bio
3,21.0,"Daniels, Aaron 21 Daniels, Aaron",11,76,322,22,300,3.9,3,19,27.27,View Bio
4,,"Schafferneitz, I  Schafferneitz, I",10,17,99,0,99,5.8,1,21,9.9,
5,16.0,"Hack, Wes 16 Hack, Wes",4,1,35,0,35,35.0,0,35,8.75,View Bio
6,7.0,"Mahaffey, Dante 7 Mahaffey, Dante",9,3,25,0,25,8.3,0,17,2.78,View Bio
7,18.0,"Runfolo, John 18 Runfolo, John",10,3,19,0,19,6.3,0,9,1.9,View Bio
8,4.0,"Buda, Timothy 4 Buda, Timothy",9,3,16,0,16,5.3,0,7,1.78,View Bio
9,,"Ardito, Chris  Ardito, Chris",11,3,7,0,7,2.3,0,4,0.64,
10,,"Ard, Ardito|christopher, Chris  Ard, Ardito|christopher, Chris",11,3,7,0,7,2.3,0,4,0.64,
11,3.0,"Spang, Luke 3 Spang, Luke",5,3,16,9,7,2.3,0,11,1.4,View Bio
12,12.0,"Darno, Andrew 12 Darno, Andrew",11,4,2,0,2,0.5,0,1,0.18,View Bio
13,8.0,"Shotwell, Jake 8 Shotwell, Jake",9,3,3,2,1,0.3,0,3,0.11,View Bio
14,,Team  Team,11,7,0,3,-3,-0.4,0,0,-0.27,
15,,Total,11,426,2159,181,1978,4.6,25,61,179.82,
16,,Opponents,11,364,1831,285,1546,4.2,13,86,140.55,
